#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:52.42 aq:42.70 tex:123290 mv:54898 misc:6268 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:53.21 aq:46.01 tex:15248 mv:13332 misc:3260 imb:531 pmb:862 smb:6767 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:53.21 aq:49.28 tex:1775 mv:7418 misc:2375 imb:46 pmb:715 smb:7399 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:53.21 aq:52.20 tex:433 mv:4049 misc:1622 imb:8 pmb:406 smb:7746 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:53.21 aq:55.59 tex:582 mv:5012 misc:1814 imb:10 pmb:519 smb:7631 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:53.15 aq:46.18 tex:12201 mv:12239 misc:3488 imb:372 pmb:1009 smb:6779 d:- ref:0 ;
in:7 out:6 type:P dur:2 cpbdur:2 q:53.25 aq:44.73 tex:10257 mv:13349 misc:4170 imb:541 pmb:902 smb:6717 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:53.20 aq:50.06 tex:1153 mv:5646 misc:1977 imb:28 pmb:523 smb:7609 d:- ref:0 ;
in:10 out:8 type:P dur:2 cpbdur:2 q:53.35 aq:45.20 tex:13403 mv:15026 misc:4403 imb:1134 pmb:899 smb:6127 d:- ref:0 ;
in:8 out:9 type:B dur:2 cpbdur:2 q:53.28 aq:48.61 tex:1317 mv:6552 misc:2435 imb:75 pmb:622 smb:7463 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:53.31 aq:49.40 tex:1227 mv:5348 misc:2097 imb:51 pmb:533 smb:7576 d:- ref:0 ;
in:13 out:11 type:P dur:2 cpbdur:2 q:53.54 aq:45.87 tex:35862 mv:16193 misc:4385 imb:798 pmb:1197 smb:6165 d:- ref:0 ;
in:11 out:12 type:B dur:2 cpbdur:2 q:53.41 aq:45.59 tex:1171 mv:6271 misc:2430 imb:54 pmb:604 smb:7502 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:53.47 aq:50.27 tex:734 mv:4700 misc:1838 imb:25 pmb:463 smb:7672 d:- ref:0 ;
in:16 out:14 type:P dur:2 cpbdur:2 q:53.83 aq:45.71 tex:10389 mv:12019 misc:4408 imb:554 pmb:844 smb:6762 d:- ref:0 ;
